CAH level marker,CAH level subject,Level of study,Academic Year,Sex,Number
CAH level 3,01-01-01 Medical sciences (non-specific),First degree,2022/23,Unknown,0
CAH level 3,01-01-01 Medical sciences (non-specific),First degree,2022/23,Total,215
CAH level 3,01-01-01 Medical sciences (non-specific),All,2022/23,Female,155
CAH level 3,01-01-01 Medical sciences (non-specific),All,2022/23,Male,60
CAH level 3,01-01-01 Medical sciences (non-specific),All,2022/23,Unknown,0
CAH level 3,01-01-01 Medical sciences (non-specific),All,2022/23,Total,215
CAH level 3,01-01-02 Medicine (non-specific),First degree,2022/23,Female,1045
CAH level 3,01-01-02 Medicine (non-specific),First degree,2022/23,Male,440
CAH level 3,01-01-02 Medicine (non-specific),First degree,2022/23,Unknown,0
CAH level 3,01-01-02 Medicine (non-specific),First degree,2022/23,Total,1485
CAH level 3,01-01-02 Medicine (non-specific),All,2022/23,Female,1045
CAH level 3,01-01-02 Medicine (non-specific),All,2022/23,Male,440
CAH level 3,01-01-02 Medicine (non-specific),All,2022/23,Unknown,0
CAH level 3,01-01-02 Medicine (non-specific),All,2022/23,Total,1485
CAH level 3,02-02-01 Pharmacology,First degree,2022/23,Female,565
CAH level 3,02-02-01 Pharmacology,First degree,2022/23,Male,300
CAH level 3,02-02-01 Pharmacology,First degree,2022/23,Unknown,0
CAH level 3,02-02-01 Pharmacology,First degree,2022/23,Total,870
CAH level 3,02-02-01 Pharmacology,All,2022/23,Female,565
CAH level 3,02-02-01 Pharmacology,All,2022/23,Male,300
CAH level 3,02-02-01 Pharmacology,All,2022/23,Unknown,0
CAH level 3,02-02-01 Pharmacology,All,2022/23,Total,870
CAH level 3,02-02-02 Toxicology,First degree,2022/23,Female,0
CAH level 3,02-02-02 Toxicology,First degree,2022/23,Male,5
CAH level 3,02-02-02 Toxicology,First degree,2022/23,Unknown,0
CAH level 3,02-02-02 Toxicology,First degree,2022/23,Total,5
CAH level 3,02-02-02 Toxicology,All,2022/23,Female,0
CAH level 3,02-02-02 Toxicology,All,2022/23,Male,5
CAH level 3,02-02-02 Toxicology,All,2022/23,Unknown,0
CAH level 3,02-02-02 Toxicology,All,2022/23,Total,5
CAH level 3,02-02-03 Pharmacy,First degree,2022/23,Female,335
CAH level 3,02-02-03 Pharmacy,First degree,2022/23,Male,220
CAH level 3,02-02-03 Pharmacy,First degree,2022/23,Unknown,0
CAH level 3,02-02-03 Pharmacy,First degree,2022/23,Total,555
CAH level 3,02-02-03 Pharmacy,All,2022/23,Female,335
CAH level 3,02-02-03 Pharmacy,All,2022/23,Male,220
CAH level 3,02-02-03 Pharmacy,All,2022/23,Unknown,0
CAH level 3,02-02-03 Pharmacy,All,2022/23,Total,555
CAH level 3,02-04-01 Nursing (non-specific),First degree,2022/23,Female,20
CAH level 3,02-04-01 Nursing (non-specific),First degree,2022/23,Male,0
CAH level 3,02-04-01 Nursing (non-specific),First degree,2022/23,Unknown,0
CAH level 3,02-04-01 Nursing (non-specific),First degree,2022/23,Total,20
CAH level 3,02-04-01 Nursing (non-specific),Other undergraduate,2022/23,Female,365
CAH level 3,02-04-01 Nursing (non-specific),Other undergraduate,2022/23,Male,65
CAH level 3,02-04-01 Nursing (non-specific),Other undergraduate,2022/23,Unknown,0
CAH level 3,02-04-01 Nursing (non-specific),Other undergraduate,2022/23,Total,430
CAH level 3,02-04-01 Nursing (non-specific),All,2022/23,Female,380
CAH level 3,02-04-01 Nursing (non-specific),All,2022/23,Male,65
CAH level 3,02-04-01 Nursing (non-specific),All,2022/23,Unknown,0
CAH level 3,02-04-01 Nursing (non-specific),All,2022/23,Total,450
