CAH level marker,CAH level subject,Level of study,Academic Year,Sex,Number
CAH level 3,"23-01-01 Combined, general or negotiated studies",First degree,2022/23,Total,400
CAH level 3,"23-01-01 Combined, general or negotiated studies",Other undergraduate,2022/23,Female,5
CAH level 3,"23-01-01 Combined, general or negotiated studies",Other undergraduate,2022/23,Male,0
CAH level 3,"23-01-01 Combined, general or negotiated studies",Other undergraduate,2022/23,Unknown,0
CAH level 3,"23-01-01 Combined, general or negotiated studies",Other undergraduate,2022/23,Total,5
CAH level 3,"23-01-01 Combined, general or negotiated studies",All,2022/23,Female,280
CAH level 3,"23-01-01 Combined, general or negotiated studies",All,2022/23,Male,125
CAH level 3,"23-01-01 Combined, general or negotiated studies",All,2022/23,Unknown,5
CAH level 3,"23-01-01 Combined, general or negotiated studies",All,2022/23,Total,405
CAH level 3,23-01-02 Personal development,First degree,2022/23,Female,50
CAH level 3,23-01-02 Personal development,First degree,2022/23,Male,105
CAH level 3,23-01-02 Personal development,First degree,2022/23,Unknown,0
CAH level 3,23-01-02 Personal development,First degree,2022/23,Total,155
CAH level 3,23-01-02 Personal development,All,2022/23,Female,50
CAH level 3,23-01-02 Personal development,All,2022/23,Male,105
CAH level 3,23-01-02 Personal development,All,2022/23,Unknown,0
CAH level 3,23-01-02 Personal development,All,2022/23,Total,155
CAH level 3,23-01-03 Humanities (non-specific),First degree,2022/23,Female,55
CAH level 3,23-01-03 Humanities (non-specific),First degree,2022/23,Male,15
CAH level 3,23-01-03 Humanities (non-specific),First degree,2022/23,Unknown,0
CAH level 3,23-01-03 Humanities (non-specific),First degree,2022/23,Total,70
CAH level 3,23-01-03 Humanities (non-specific),All,2022/23,Female,55
CAH level 3,23-01-03 Humanities (non-specific),All,2022/23,Male,15
CAH level 3,23-01-03 Humanities (non-specific),All,2022/23,Unknown,0
CAH level 3,23-01-03 Humanities (non-specific),All,2022/23,Total,70
CAH level 3,23-01-04 Liberal arts (non-specific),First degree,2022/23,Female,245
CAH level 3,23-01-04 Liberal arts (non-specific),First degree,2022/23,Male,75
CAH level 3,23-01-04 Liberal arts (non-specific),First degree,2022/23,Unknown,5
CAH level 3,23-01-04 Liberal arts (non-specific),First degree,2022/23,Total,325
CAH level 3,23-01-04 Liberal arts (non-specific),All,2022/23,Female,245
CAH level 3,23-01-04 Liberal arts (non-specific),All,2022/23,Male,75
CAH level 3,23-01-04 Liberal arts (non-specific),All,2022/23,Unknown,5
CAH level 3,23-01-04 Liberal arts (non-specific),All,2022/23,Total,325
CAH level 3,24-01-01 Information services,First degree,2022/23,Female,10
CAH level 3,24-01-01 Information services,First degree,2022/23,Male,20
CAH level 3,24-01-01 Information services,First degree,2022/23,Unknown,0
CAH level 3,24-01-01 Information services,First degree,2022/23,Total,30
CAH level 3,24-01-01 Information services,All,2022/23,Female,10
CAH level 3,24-01-01 Information services,All,2022/23,Male,20
CAH level 3,24-01-01 Information services,All,2022/23,Unknown,0
CAH level 3,24-01-01 Information services,All,2022/23,Total,30
CAH level 3,24-01-02 Publicity studies,First degree,2022/23,Female,275
CAH level 3,24-01-02 Publicity studies,First degree,2022/23,Male,80
CAH level 3,24-01-02 Publicity studies,First degree,2022/23,Unknown,0
CAH level 3,24-01-02 Publicity studies,First degree,2022/23,Total,360
CAH level 3,24-01-02 Publicity studies,Other undergraduate,2022/23,Female,0
CAH level 3,24-01-02 Publicity studies,Other undergraduate,2022/23,Male,0
CAH level 3,24-01-02 Publicity studies,Other undergraduate,2022/23,Unknown,0
CAH level 3,24-01-02 Publicity studies,Other undergraduate,2022/23,Total,0
CAH level 3,24-01-02 Publicity studies,All,2022/23,Female,275
CAH level 3,24-01-02 Publicity studies,All,2022/23,Male,80
CAH level 3,24-01-02 Publicity studies,All,2022/23,Unknown,0
CAH level 3,24-01-02 Publicity studies,All,2022/23,Total,360
CAH level 3,24-01-03 Publishing,First degree,2022/23,Female,145
CAH level 3,24-01-03 Publishing,First degree,2022/23,Male,30
CAH level 3,24-01-03 Publishing,First degree,2022/23,Unknown,0
CAH level 3,24-01-03 Publishing,First degree,2022/23,Total,180
CAH level 3,24-01-03 Publishing,All,2022/23,Female,145
CAH level 3,24-01-03 Publishing,All,2022/23,Male,30
CAH level 3,24-01-03 Publishing,All,2022/23,Unknown,0
CAH level 3,24-01-03 Publishing,All,2022/23,Total,180
CAH level 3,24-01-04 Journalism,First degree,2022/23,Female,485
CAH level 3,24-01-04 Journalism,First degree,2022/23,Male,385
CAH level 3,24-01-04 Journalism,First degree,2022/23,Unknown,10
CAH level 3,24-01-04 Journalism,First degree,2022/23,Total,880
CAH level 3,24-01-04 Journalism,All,2022/23,Female,485
CAH level 3,24-01-04 Journalism,All,2022/23,Male,385
CAH level 3,24-01-04 Journalism,All,2022/23,Unknown,10
CAH level 3,24-01-04 Journalism,All,2022/23,Total,880
CAH level 3,24-01-05 Media studies,First degree,2022/23,Female,2105
CAH level 3,24-01-05 Media studies,First degree,2022/23,Male,1670
CAH level 3,24-01-05 Media studies,First degree,2022/23,Unknown,50
CAH level 3,24-01-05 Media studies,First degree,2022/23,Total,3820
CAH level 3,24-01-05 Media studies,Other undergraduate,2022/23,Female,0
CAH level 3,24-01-05 Media studies,Other undergraduate,2022/23,Male,0
CAH level 3,24-01-05 Media studies,Other undergraduate,2022/23,Unknown,0
CAH level 3,24-01-05 Media studies,Other undergraduate,2022/23,Total,0
CAH level 3,24-01-05 Media studies,All,2022/23,Female,2105
CAH level 3,24-01-05 Media studies,All,2022/23,Male,1670
CAH level 3,24-01-05 Media studies,All,2022/23,Unknown,50
CAH level 3,24-01-05 Media studies,All,2022/23,Total,3820
CAH level 3,25-01-01 Creative arts and design (non-specific),First degree,2022/23,Female,60
CAH level 3,25-01-01 Creative arts and design (non-specific),First degree,2022/23,Male,10
CAH level 3,25-01-01 Creative arts and design (non-specific),First degree,2022/23,Unknown,0
CAH level 3,25-01-01 Creative arts and design (non-specific),First degree,2022/23,Total,70
CAH level 3,25-01-01 Creative arts and design (non-specific),Other undergraduate,2022/23,Female,0
CAH level 3,25-01-01 Creative arts and design (non-specific),Other undergraduate,2022/23,Male,0
CAH level 3,25-01-01 Creative arts and design (non-specific),Other undergraduate,2022/23,Unknown,0
CAH level 3,25-01-01 Creative arts and design (non-specific),Other undergraduate,2022/23,Total,0
CAH level 3,25-01-01 Creative arts and design (non-specific),All,2022/23,Female,65
CAH level 3,25-01-01 Creative arts and design (non-specific),All,2022/23,Male,10
CAH level 3,25-01-01 Creative arts and design (non-specific),All,2022/23,Unknown,0
CAH level 3,25-01-01 Creative arts and design (non-specific),All,2022/23,Total,75
CAH level 3,25-01-02 Art,First degree,2022/23,Female,1130
CAH level 3,25-01-02 Art,First degree,2022/23,Male,200
CAH level 3,25-01-02 Art,First degree,2022/23,Unknown,30
CAH level 3,25-01-02 Art,First degree,2022/23,Total,1355
CAH level 3,25-01-02 Art,All,2022/23,Female,1130
CAH level 3,25-01-02 Art,All,2022/23,Male,200
CAH level 3,25-01-02 Art,All,2022/23,Unknown,30
CAH level 3,25-01-02 Art,All,2022/23,Total,1355
CAH level 3,25-01-03 Design studies,First degree,2022/23,Female,10375
CAH level 3,25-01-03 Design studies,First degree,2022/23,Male,4285
CAH level 3,25-01-03 Design studies,First degree,2022/23,Unknown,170
CAH level 3,25-01-03 Design studies,First degree,2022/23,Total,14830
CAH level 3,25-01-03 Design studies,Other undergraduate,2022/23,Female,10
CAH level 3,25-01-03 Design studies,Other undergraduate,2022/23,Male,0
CAH level 3,25-01-03 Design studies,Other undergraduate,2022/23,Unknown,0
CAH level 3,25-01-03 Design studies,Other undergraduate,2022/23,Total,10
CAH level 3,25-01-03 Design studies,All,2022/23,Female,10380
CAH level 3,25-01-03 Design studies,All,2022/23,Male,4290
CAH level 3,25-01-03 Design studies,All,2022/23,Unknown,170
CAH level 3,25-01-03 Design studies,All,2022/23,Total,14840
CAH level 3,25-01-04 Cinematics and photography,First degree,2022/23,Female,1725
CAH level 3,25-01-04 Cinematics and photography,First degree,2022/23,Male,1785
CAH level 3,25-01-04 Cinematics and photography,First degree,2022/23,Unknown,40
CAH level 3,25-01-04 Cinematics and photography,First degree,2022/23,Total,3545
CAH level 3,25-01-04 Cinematics and photography,Other undergraduate,2022/23,Female,0
CAH level 3,25-01-04 Cinematics and photography,Other undergraduate,2022/23,Male,0
CAH level 3,25-01-04 Cinematics and photography,Other undergraduate,2022/23,Unknown,0
CAH level 3,25-01-04 Cinematics and photography,Other undergraduate,2022/23,Total,0
CAH level 3,25-01-04 Cinematics and photography,All,2022/23,Female,1725
CAH level 3,25-01-04 Cinematics and photography,All,2022/23,Male,1785
CAH level 3,25-01-04 Cinematics and photography,All,2022/23,Unknown,40
CAH level 3,25-01-04 Cinematics and photography,All,2022/23,Total,3545
CAH level 3,25-01-05 Others in creative arts and design,First degree,2022/23,Female,45
CAH level 3,25-01-05 Others in creative arts and design,First degree,2022/23,Male,10
CAH level 3,25-01-05 Others in creative arts and design,First degree,2022/23,Unknown,5
CAH level 3,25-01-05 Others in creative arts and design,First degree,2022/23,Total,55
CAH level 3,25-01-05 Others in creative arts and design,All,2022/23,Female,45
CAH level 3,25-01-05 Others in creative arts and design,All,2022/23,Male,10
CAH level 3,25-01-05 Others in creative arts and design,All,2022/23,Unknown,5
CAH level 3,25-01-05 Others in creative arts and design,All,2022/23,Total,55
CAH level 3,25-02-01 Performing arts (non-specific),First degree,2022/23,Female,50
CAH level 3,25-02-01 Performing arts (non-specific),First degree,2022/23,Male,20
CAH level 3,25-02-01 Performing arts (non-specific),First degree,2022/23,Unknown,0
CAH level 3,25-02-01 Performing arts (non-specific),First degree,2022/23,Total,70
CAH level 3,25-02-01 Performing arts (non-specific),All,2022/23,Female,50
CAH level 3,25-02-01 Performing arts (non-specific),All,2022/23,Male,20
CAH level 3,25-02-01 Performing arts (non-specific),All,2022/23,Unknown,0
CAH level 3,25-02-01 Performing arts (non-specific),All,2022/23,Total,70
CAH level 3,25-02-02 Music,First degree,2022/23,Female,645
CAH level 3,25-02-02 Music,First degree,2022/23,Male,1135
CAH level 3,25-02-02 Music,First degree,2022/23,Unknown,20
CAH level 3,25-02-02 Music,First degree,2022/23,Total,1800
CAH level 3,25-02-02 Music,Other undergraduate,2022/23,Female,0
CAH level 3,25-02-02 Music,Other undergraduate,2022/23,Male,0
CAH level 3,25-02-02 Music,Other undergraduate,2022/23,Unknown,0
CAH level 3,25-02-02 Music,Other undergraduate,2022/23,Total,0
CAH level 3,25-02-02 Music,All,2022/23,Female,645
CAH level 3,25-02-02 Music,All,2022/23,Male,1135
CAH level 3,25-02-02 Music,All,2022/23,Unknown,20
CAH level 3,25-02-02 Music,All,2022/23,Total,1800
CAH level 3,25-02-03 Drama,First degree,2022/23,Female,550
CAH level 3,25-02-03 Drama,First degree,2022/23,Male,245
CAH level 3,25-02-03 Drama,First degree,2022/23,Unknown,10
CAH level 3,25-02-03 Drama,First degree,2022/23,Total,805
CAH level 3,25-02-03 Drama,Other undergraduate,2022/23,Female,0
CAH level 3,25-02-03 Drama,Other undergraduate,2022/23,Male,0
CAH level 3,25-02-03 Drama,Other undergraduate,2022/23,Unknown,0
CAH level 3,25-02-03 Drama,Other undergraduate,2022/23,Total,5
CAH level 3,25-02-03 Drama,All,2022/23,Female,550
CAH level 3,25-02-03 Drama,All,2022/23,Male,245
CAH level 3,25-02-03 Drama,All,2022/23,Unknown,10
CAH level 3,25-02-03 Drama,All,2022/23,Total,805
CAH level 3,25-02-04 Dance,First degree,2022/23,Female,245
CAH level 3,25-02-04 Dance,First degree,2022/23,Male,20
CAH level 3,25-02-04 Dance,First degree,2022/23,Unknown,5
CAH level 3,25-02-04 Dance,First degree,2022/23,Total,265
CAH level 3,25-02-04 Dance,All,2022/23,Female,245
CAH level 3,25-02-04 Dance,All,2022/23,Male,20
CAH level 3,25-02-04 Dance,All,2022/23,Unknown,5
CAH level 3,25-02-04 Dance,All,2022/23,Total,265
CAH level 3,26-01-03 Human geography,First degree,2022/23,Female,750
CAH level 3,26-01-03 Human geography,First degree,2022/23,Male,635
CAH level 3,26-01-03 Human geography,First degree,2022/23,Unknown,10
CAH level 3,26-01-03 Human geography,First degree,2022/23,Total,1400
CAH level 3,26-01-03 Human geography,All,2022/23,Female,750
CAH level 3,26-01-03 Human geography,All,2022/23,Male,635
CAH level 3,26-01-03 Human geography,All,2022/23,Unknown,10
CAH level 3,26-01-03 Human geography,All,2022/23,Total,1400
CAH level 3,Total non-science CAH level 3,All,2022/23,Female,92685
CAH level 3,Total non-science CAH level 3,All,2022/23,Male,82720
CAH level 3,Total non-science CAH level 3,All,2022/23,Unknown,1160
CAH level 3,Total non-science CAH level 3,All,2022/23,Total,176570
CAH level 3,Total non-science CAH level 3,First degree,2022/23,Female,92170
CAH level 3,Total non-science CAH level 3,First degree,2022/23,Male,82305
CAH level 3,Total non-science CAH level 3,First degree,2022/23,Unknown,1160
CAH level 3,Total non-science CAH level 3,First degree,2022/23,Total,175630
CAH level 3,Total non-science CAH level 3,Other undergraduate,2022/23,Female,520
CAH level 3,Total non-science CAH level 3,Other undergraduate,2022/23,Male,420
CAH level 3,Total non-science CAH level 3,Other undergraduate,2022/23,Unknown,0
CAH level 3,Total non-science CAH level 3,Other undergraduate,2022/23,Total,940
CAH level 3,Total,All,2022/23,Female,167415
CAH level 3,Total,All,2022/23,Male,184040
CAH level 3,Total,All,2022/23,Unknown,2165
CAH level 3,Total,All,2022/23,Total,353620
CAH level 3,Total,First degree,2022/23,Female,166265
CAH level 3,Total,First degree,2022/23,Male,183085
CAH level 3,Total,First degree,2022/23,Unknown,2165
CAH level 3,Total,First degree,2022/23,Total,351515
CAH level 3,Total,Other undergraduate,2022/23,Female,1155
CAH level 3,Total,Other undergraduate,2022/23,Male,955
CAH level 3,Total,Other undergraduate,2022/23,Unknown,0
CAH level 3,Total,Other undergraduate,2022/23,Total,2110
